1,Untagged,serviceable,serviceable,CORRECT,,0 min. 9 sec.
2,Untagged,ruminant,ruminant,CORRECT,,0 min. 4 sec.
3,Untagged,antiquity,antiquity,CORRECT,,0 min. 7 sec.
4,Untagged,gypsum,gypsum,CORRECT,,0 min. 4 sec.
5,Untagged,vasculature,basculature,INCORRECT,,0 min. 8 sec.
6,Untagged,intricate,intricate,CORRECT,,0 min. 16 sec.
7,Untagged,skewbald,skewballed,INCORRECT,,0 min. 5 sec.
8,Untagged,paparazzo,paparazzo,CORRECT,,0 min. 29 sec.
9,Untagged,coupe,coup,INCORRECT,,0 min. 4 sec.
10,Untagged,alfalfa,alfalfa,CORRECT,,0 min. 16 sec.
11,Untagged,disproportionate,disproportionate,CORRECT,,0 min. 5 sec.
12,Untagged,thallophyte,fallophyte,INCORRECT,,0 min. 6 sec.
13,Untagged,mechanics,mechanics,CORRECT,,0 min. 13 sec.
14,Untagged,sandinista,sandonista,INCORRECT,,0 min. 6 sec.
15,Untagged,telesis,talysis,INCORRECT,,0 min. 4 sec.
16,Untagged,capillary,capillary,CORRECT,,0 min. 5 sec.
17,Untagged,corral,carale,INCORRECT,,0 min. 4 sec.
18,Untagged,pavlova,pavlova,CORRECT,,0 min. 19 sec.
19,Untagged,debacle,debacle,CORRECT,,0 min. 29 sec.
20,Untagged,ludicrous,ludicrous,CORRECT,,0 min. 10 sec.
21,Untagged,maraschino,maraschino,CORRECT,,0 min. 11 sec.
22,Untagged,flamenco,flamenco,CORRECT,,0 min. 4 sec.
23,Untagged,cis,cyst,INCORRECT,,0 min. 4 sec.
24,Untagged,nix,nix,CORRECT,,0 min. 3 sec.
25,Untagged,brocade,brocade,CORRECT,,0 min. 4 sec.
26,Untagged,adios,adios,CORRECT,,0 min. 3 sec.
27,Untagged,commemorate,commemorate,CORRECT,,0 min. 4 sec.
28,Untagged,barbiturate,barbiturate,CORRECT,,0 min. 5 sec.
29,Untagged,cummerbund,cummerbund,CORRECT,,0 min. 4 sec.
30,Untagged,repetition,repetition,CORRECT,,0 min. 6 sec.
31,Untagged,hecatomb,hecatomb,CORRECT,,0 min. 6 sec.
32,Untagged,legerity,legerity,CORRECT,,0 min. 4 sec.
33,Untagged,primogeniture,prkmogeniture,INCORRECT,,0 min. 5 sec.
34,Untagged,neoprene,neoprene,CORRECT,,0 min. 6 sec.
35,Untagged,unitarian,unitarian,CORRECT,,0 min. 5 sec.
36,Untagged,redaction,redaction,CORRECT,,0 min. 7 sec.
37,Untagged,olympian,olympian,CORRECT,,0 min. 4 sec.
38,Untagged,simnel,simnel,CORRECT,,0 min. 5 sec.
39,Untagged,oolong,oolong,CORRECT,,0 min. 5 sec.
40,Untagged,anthropology,anthropology,CORRECT,,0 min. 5 sec.
41,Untagged,physiology,physiology,CORRECT,,0 min. 11 sec.
42,Untagged,hemodialysis,hemodialysis,CORRECT,,0 min. 7 sec.
43,Untagged,ameliorate,ameliorate,CORRECT,,0 min. 6 sec.
44,Untagged,gambol,gambol,CORRECT,,0 min. 3 sec.
45,Untagged,centurion,sanchurian,INCORRECT,,0 min. 5 sec.
46,Untagged,gender,gender,CORRECT,,0 min. 3 sec.
47,Untagged,stockholm,stockholm,CORRECT,,0 min. 18 sec.
